Global Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191006,-0.32
191007,-0.31
191008,-0.37
191009,-0.38
191010,-0.44
191011,-0.51
191012,-0.61
191101,-0.54
191102,-0.55
191103,-0.59
191104,-0.51
191105,-0.46
191106,-0.45
191107,-0.41
191108,-0.44
191109,-0.39
191110,-0.32
191111,-0.16
191112,-0.13
191201,-0.24
191202,-0.18
191203,-0.32
191204,-0.20
191205,-0.18
191206,-0.17
191207,-0.38
191208,-0.43
191209,-0.52
191210,-0.55
191211,-0.38
191212,-0.45
191301,-0.34
191302,-0.41
191303,-0.39
191304,-0.35
191305,-0.40
191306,-0.40
191307,-0.33
191308,-0.32
191309,-0.34
191310,-0.34
191311,-0.25
191312,-0.07
191401,0.05
191402,-0.06
191403,-0.18
191404,-0.29
191405,-0.19
191406,-0.23
191407,-0.24
191408,-0.18
191409,-0.18
191410,-0.11
191411,-0.12
191412,0.00
191501,-0.17
191502,-0.01
191503,-0.05
191504,0.08
191505,0.00
191506,-0.11
191507,-0.06
191508,-0.11
191509,-0.19
191510,-0.21
191511,-0.13
191512,-0.23
191601,-0.20
191602,-0.16
191603,-0.26
191604,-0.24
191605,-0.26
191606,-0.36
191607,-0.31
191608,-0.27
191609,-0.28
191610,-0.30
191611,-0.41
191612,-0.70
191701,-0.60
191702,-0.64
191703,-0.64
191704,-0.52
191705,-0.52
191706,-0.41
191707,-0.26
191708,-0.22
191709,-0.21
191710,-0.38
191711,-0.33
191712,-0.48
191801,-0.44
191802,-0.38
191803,-0.28
191804,-0.40
191805,-0.40
191806,-0.34
191807,-0.28
191808,-0.29
191809,-0.16
191810,-0.10
191811,-0.08
191812,-0.26
191901,-0.15
191902,-0.19
191903,-0.20
191904,-0.09
191905,-0.22
191906,-0.30
191907,-0.27
191908,-0.32
191909,-0.25
191910,-0.20
191911,-0.35
191912,-0.38
192001,-0.26
192002,-0.30
192003,-0.11
192004,-0.23
192005,-0.25
192006,-0.28
192007,-0.27
192008,-0.23
192009,-0.18
192010,-0.26
192011,-0.25
192012,-0.42
192101,-0.09
192102,-0.20
192103,-0.23
192104,-0.26
192105,-0.22
192106,-0.23
192107,-0.13
192108,-0.19
192109,-0.18
192110,-0.08
192111,-0.16
192112,-0.15
192201,-0.29
192202,-0.39
192203,-0.11
192204,-0.20
192205,-0.27
192206,-0.24
192207,-0.25
192208,-0.27
192209,-0.30
192210,-0.29
192211,-0.16
192212,-0.20
192301,-0.26
192302,-0.39
192303,-0.33
192304,-0.35
192305,-0.28
192306,-0.22
192307,-0.29
192308,-0.32
192309,-0.27
192310,-0.19
192311,-0.05
192312,0.00
192401,-0.19
192402,-0.18
192403,-0.07
192404,-0.22
192405,-0.11
192406,-0.23
192407,-0.22
192408,-0.30
192409,-0.30
192410,-0.32
192411,-0.22
192412,-0.37
192501,-0.37
192502,-0.40
192503,-0.27
192504,-0.25
192505,-0.25
192506,-0.28
192507,-0.24
192508,-0.17
192509,-0.14
192510,-0.17
192511,0.02
192512,0.08
192601,0.12
192602,0.00
192603,0.09
192604,-0.12
192605,-0.17
192606,-0.16
192607,-0.22
192608,-0.12
192609,-0.15
192610,-0.09
192611,-0.06
192612,-0.21
192701,-0.28
192702,-0.20
192703,-0.33
192704,-0.26
192705,-0.21
192706,-0.20
192707,-0.16
192708,-0.14
192709,-0.09
192710,-0.03
192711,-0.06
192712,-0.25
192801,-0.06
192802,-0.11
192803,-0.23
192804,-0.24
192805,-0.18
192806,-0.29
192807,-0.16
192808,-0.19
192809,-0.16
192810,-0.18
192811,-0.11
192812,-0.14
192901,-0.42
192902,-0.49
192903,-0.32
192904,-0.36
192905,-0.32
192906,-0.34
192907,-0.29
192908,-0.24
192909,-0.23
192910,-0.14
192911,-0.12
192912,-0.45
193001,-0.29
193002,-0.26
193003,-0.08
193004,-0.19
193005,-0.17
193006,-0.12
193007,-0.12
193008,-0.10
193009,-0.10
193010,-0.05
193011,0.13
193012,-0.02
193101,-0.08
193102,-0.17
193103,-0.07
193104,-0.16
193105,-0.13
193106,-0.01
193107,0.00
193108,-0.01
193109,0.00
193110,0.02
193111,-0.08
193112,-0.05
193201,0.10
193202,-0.13
193203,-0.14
193204,-0.04
193205,-0.14
193206,-0.17
193207,-0.15
193208,-0.16
193209,-0.10
193210,-0.10
193211,-0.23
193212,-0.23
193301,-0.26
193302,-0.31
193303,-0.26
193304,-0.21
193305,-0.24
193306,-0.28
193307,-0.21
193308,-0.19
193309,-0.26
193310,-0.19
193311,-0.27
193312,-0.34
193401,-0.25
193402,-0.03
193403,-0.30
193404,-0.28
193405,-0.07
193406,-0.08
193407,-0.09
193408,-0.09
193409,-0.11
193410,-0.02
193411,0.08
193412,-0.01
193501,-0.30
193502,0.11
193503,-0.12
193504,-0.31
193505,-0.24
193506,-0.20
193507,-0.15
193508,-0.14
193509,-0.13
193510,-0.03
193511,-0.22
193512,-0.11
193601,-0.30
193602,-0.36
193603,-0.20
193604,-0.13
193605,-0.08
193606,-0.10
193607,-0.05
193608,-0.07
193609,-0.08
193610,-0.05
193611,0.01
193612,0.00
193701,-0.09
193702,0.01
193703,-0.19
193704,-0.12
193705,-0.02
193706,0.03
193707,0.01
193708,0.06
193709,0.15
193710,0.12
193711,0.13
193712,0.03
193801,0.07
193802,0.03
193803,0.06
193804,0.07
193805,-0.03
193806,-0.09
193807,-0.06
193808,-0.03
193809,0.06
193810,0.12
193811,0.08
193812,-0.07
193901,-0.09
193902,-0.10
193903,-0.15
193904,-0.04
193905,-0.01
193906,-0.02
193907,-0.02
193908,0.02
193909,-0.01
193910,-0.02
193911,0.07
193912,0.46
194001,0.08
194002,0.07
194003,0.13
194004,0.21
194005,0.16
194006,0.12
194007,0.15
194008,0.11
194009,0.18
194010,0.15
194011,0.17
194012,0.33
194101,0.21
194102,0.32
194103,0.11
194104,0.23
194105,0.21
194106,0.16
194107,0.22
194108,0.20
194109,0.09
194110,0.36
194111,0.27
194112,0.25
194201,0.31
194202,0.06
194203,0.08
194204,0.14
194205,0.15
194206,0.10
194207,0.00
194208,-0.01
194209,0.00
194210,0.04
194211,0.09
194212,0.12
194301,-0.03
194302,0.12
194303,-0.02
194304,0.13
194305,0.13
194306,-0.02
194307,0.06
194308,0.02
194309,0.08
194310,0.25
194311,0.23
194312,0.23
194401,0.30
194402,0.25
194403,0.30
194404,0.20
194405,0.23
194406,0.23
194407,0.20
194408,0.18
194409,0.32
194410,0.29
194411,0.13
194412,0.16
194501,0.18
194502,0.05
194503,0.09
194504,0.25
194505,0.12
194506,0.10
194507,0.11
194508,0.29
194509,0.22
194510,0.17
194511,0.10
194512,-0.04
194601,0.17
194602,0.01
194603,0.02
194604,0.07
194605,-0.02
194606,-0.17
194607,-0.10
194608,-0.12
194609,-0.06
194610,-0.03
194611,-0.02
194612,-0.21
194701,-0.03
194702,-0.04
194703,0.05
194704,0.06
194705,0.02
194706,0.04
194707,-0.01
194708,-0.09
194709,-0.11
194710,0.06
194711,0.00
194712,-0.05
194801,0.02
194802,-0.08
194803,-0.21
194804,-0.04
194805,0.05
194806,-0.02
194807,-0.04
194808,-0.05
194809,-0.10
194810,-0.04
194811,-0.07
194812,-0.19
194901,0.06
194902,-0.15
194903,0.04
194904,-0.05
194905,-0.03
194906,-0.16
194907,-0.09
194908,-0.05
194909,-0.10
194910,-0.04
194911,-0.03
194912,-0.10
195001,-0.20
195002,-0.26
195003,-0.08
195004,-0.16
195005,-0.02
195006,-0.02
195007,-0.09
195008,-0.09
195009,-0.07
195010,-0.15
195011,-0.26
195012,-0.12
195101,-0.31
195102,-0.37
195103,-0.16
195104,-0.10
195105,0.04
195106,0.03
195107,0.10
195108,0.11
195109,0.16
195110,0.13
195111,0.03
195112,0.21
195201,0.14
195202,0.11
195203,-0.03
195204,0.07
195205,0.08
195206,0.05
195207,0.07
195208,0.06
195209,0.09
195210,0.02
195211,-0.08
195212,0.05
195301,0.07
195302,0.14
195303,0.15
195304,0.26
195305,0.20
195306,0.21
195307,0.09
195308,0.10
195309,0.08
195310,0.13
195311,0.04
195312,0.07
195401,-0.19
195402,-0.06
195403,-0.14
195404,-0.08
195405,-0.11
195406,-0.06
195407,-0.08
195408,-0.05
195409,-0.01
195410,-0.01
195411,0.09
195412,-0.12
195501,0.13
195502,-0.17
195503,-0.29
195504,-0.20
195505,-0.15
195506,-0.09
195507,-0.12
195508,-0.03
195509,-0.04
195510,-0.09
195511,-0.26
195512,-0.26
195601,-0.11
195602,-0.17
195603,-0.16
195604,-0.25
195605,-0.26
195606,-0.16
195607,-0.12
195608,-0.19
195609,-0.23
195610,-0.22
195611,-0.15
195612,-0.02
195701,-0.06
195702,-0.09
195703,-0.09
195704,-0.05
195705,0.06
195706,0.15
195707,0.01
195708,0.26
195709,0.17
195710,0.09
195711,0.08
195712,0.18
195801,0.35
195802,0.26
195803,0.12
195804,0.06
195805,0.10
195806,-0.04
195807,0.02
195808,0.01
195809,-0.03
195810,0.04
195811,0.03
195812,0.08
195901,0.07
195902,0.10
195903,0.19
195904,0.17
195905,0.04
195906,0.11
195907,0.08
195908,0.04
195909,0.09
195910,-0.06
195911,-0.02
195912,0.02
196001,0.05
196002,0.11
196003,-0.25
196004,-0.09
196005,-0.04
196006,0.08
196007,0.08
196008,0.01
196009,0.13
196010,0.08
196011,-0.11
196012,0.26
196101,0.14
196102,0.18
196103,0.10
196104,0.21
196105,0.04
196106,0.10
196107,0.05
196108,0.05
196109,0.08
196110,-0.11
196111,0.04
196112,-0.09
196201,0.08
196202,0.11
196203,0.16
196204,-0.01
196205,0.02
196206,-0.06
196207,0.10
196208,0.07
196209,-0.04
196210,0.03
196211,0.11
196212,0.06
196301,0.02
196302,0.21
196303,-0.13
196304,0.01
196305,-0.02
196306,0.09
196307,0.04
196308,0.17
196309,0.13
196310,0.21
196311,0.19
196312,0.05
196401,-0.08
196402,-0.11
196403,-0.15
196404,-0.23
196405,-0.15
196406,-0.04
196407,-0.01
196408,-0.18
196409,-0.14
196410,-0.27
196411,-0.20
196412,-0.23
196501,-0.08
196502,-0.15
196503,-0.11
196504,-0.11
196505,-0.19
196506,-0.07
196507,0.00
196508,0.01
196509,-0.06
196510,0.01
196511,0.03
196512,-0.02
196601,-0.14
196602,-0.04
196603,-0.02
196604,-0.07
196605,-0.10
196606,0.11
196607,0.09
196608,-0.02
196609,0.06
196610,-0.14
196611,0.01
196612,0.01
196701,-0.11
196702,-0.15
196703,0.05
196704,0.00
196705,0.21
196706,0.02
196707,-0.02
196708,0.09
196709,-0.04
196710,0.12
196711,-0.03
196712,0.04
196801,-0.18
196802,-0.09
196803,0.18
196804,-0.04
196805,-0.17
196806,-0.13
196807,-0.05
196808,-0.02
196809,-0.11
196810,0.04
196811,-0.05
196812,-0.07
196901,-0.08
196902,-0.11
196903,0.08
196904,0.11
196905,0.18
196906,0.00
196907,0.11
196908,0.10
196909,0.15
196910,0.10
196911,0.15
196912,0.33
197001,0.15
197002,0.21
197003,0.07
197004,0.09
197005,0.05
197006,0.05
197007,0.03
197008,0.03
197009,0.06
197010,-0.03
197011,0.04
197012,-0.10
197101,-0.02
197102,-0.15
197103,-0.09
197104,-0.09
197105,-0.03
197106,-0.07
197107,0.00
197108,-0.02
197109,0.01
197110,-0.07
197111,-0.05
197112,-0.05
197201,-0.24
197202,-0.16
197203,0.06
197204,0.05
197205,0.01
197206,0.08
197207,0.06
197208,0.09
197209,0.04
197210,0.12
197211,0.07
197212,0.14
197301,0.35
197302,0.38
197303,0.35
197304,0.28
197305,0.24
197306,0.25
197307,0.16
197308,0.14
197309,0.11
197310,0.06
197311,0.02
197312,0.05
197401,-0.08
197402,-0.24
197403,-0.01
197404,-0.05
197405,-0.02
197406,-0.05
197407,0.04
197408,0.05
197409,-0.02
197410,-0.06
197411,-0.09
197412,-0.06
197501,0.06
197502,0.08
197503,0.11
197504,0.11
197505,0.08
197506,0.06
197507,0.04
197508,-0.02
197509,0.04
197510,-0.11
197511,-0.17
197512,-0.09
197601,-0.01
197602,-0.08
197603,-0.13
197604,0.04
197605,-0.11
197606,-0.04
197607,-0.03
197608,0.01
197609,0.03
197610,-0.16
197611,-0.03
197612,0.12
197701,0.20
197702,0.22
197703,0.25
197704,0.28
197705,0.28
197706,0.26
197707,0.18
197708,0.16
197709,0.21
197710,0.12
197711,0.23
197712,0.12
197801,0.15
197802,0.15
197803,0.23
197804,0.14
197805,0.10
197806,0.05
197807,0.06
197808,0.00
197809,0.10
197810,0.07
197811,0.21
197812,0.12
197901,0.14
197902,-0.06
197903,0.20
197904,0.10
197905,0.17
197906,0.23
197907,0.23
197908,0.25
197909,0.28
197910,0.31
197911,0.31
197912,0.50
198001,0.35
198002,0.43
198003,0.32
198004,0.33
198005,0.38
198006,0.28
198007,0.27
198008,0.22
198009,0.21
198010,0.20
198011,0.27
198012,0.23
198101,0.55
198102,0.43
198103,0.45
198104,0.38
198105,0.31
198106,0.34
198107,0.27
198108,0.27
198109,0.23
198110,0.25
198111,0.32
198112,0.45
198201,0.12
198202,0.21
198203,0.12
198204,0.22
198205,0.18
198206,0.16
198207,0.19
198208,0.15
198209,0.23
198210,0.18
198211,0.13
198212,0.41
198301,0.51
198302,0.46
198303,0.44
198304,0.25
198305,0.29
198306,0.31
198307,0.31
198308,0.36
198309,0.35
198310,0.23
198311,0.38
198312,0.27
198401,0.31
198402,0.22
198403,0.28
198404,0.13
198405,0.32
198406,0.17
198407,0.16
198408,0.19
198409,0.20
198410,0.20
198411,0.11
198412,0.06
198501,0.29
198502,0.08
198503,0.25
198504,0.12
198505,0.23
198506,0.16
198507,0.11
198508,0.16
198509,0.16
198510,0.16
198511,0.14
198512,0.17
198601,0.23
198602,0.38
198603,0.33
198604,0.27
198605,0.35
198606,0.21
198607,0.13
198608,0.15
198609,0.04
198610,0.19
198611,0.13
198612,0.17
198701,0.30
198702,0.36
198703,0.16
198704,0.21
198705,0.33
198706,0.39
198707,0.46
198708,0.34
198709,0.40
198710,0.35
198711,0.26
198712,0.48
198801,0.54
198802,0.46
198803,0.46
198804,0.46
198805,0.48
198806,0.41
198807,0.39
198808,0.51
198809,0.42
198810,0.41
198811,0.16
198812,0.32
198901,0.12
198902,0.33
198903,0.36
198904,0.40
198905,0.25
198906,0.27
198907,0.33
198908,0.33
198909,0.40
198910,0.35
198911,0.19
198912,0.40
199001,0.41
199002,0.38
199003,0.78
199004,0.61
199005,0.51
199006,0.41
199007,0.36
199008,0.38
199009,0.30
199010,0.41
199011,0.42
199012,0.41
199101,0.42
199102,0.52
199103,0.38
199104,0.58
199105,0.44
199106,0.55
199107,0.42
199108,0.37
199109,0.39
199110,0.33
199111,0.31
199112,0.32
199201,0.44
199202,0.42
199203,0.46
199204,0.24
199205,0.37
199206,0.28
199207,0.13
199208,0.12
199209,0.06
199210,0.02
199211,0.05
199212,0.22
199301,0.34
199302,0.39
199303,0.38
199304,0.36
199305,0.31
199306,0.32
199307,0.31
199308,0.11
199309,0.21
199310,0.22
199311,0.10
199312,0.18
199401,0.22
199402,0.06
199403,0.30
199404,0.41
199405,0.32
199406,0.43
199407,0.32
199408,0.26
199409,0.27
199410,0.45
199411,0.42
199412,0.40
199501,0.55
199502,0.77
199503,0.49
199504,0.51
199505,0.33
199506,0.50
199507,0.45
199508,0.50
199509,0.44
199510,0.45
199511,0.48
199512,0.32
199601,0.28
199602,0.49
199603,0.37
199604,0.37
199605,0.34
199606,0.37
199607,0.35
199608,0.44
199609,0.28
199610,0.17
199611,0.41
199612,0.38
199701,0.30
199702,0.39
199703,0.52
199704,0.41
199705,0.42
199706,0.57
199707,0.42
199708,0.48
199709,0.60
199710,0.68
199711,0.65
199712,0.59
199801,0.58
199802,0.83
199803,0.68
199804,0.70
199805,0.69
199806,0.76
199807,0.69
199808,0.68
199809,0.48
199810,0.43
199811,0.45
199812,0.59
199901,0.49
199902,0.63
199903,0.39
199904,0.37
199905,0.34
199906,0.37
199907,0.41
199908,0.33
199909,0.46
199910,0.37
199911,0.38
199912,0.47
200001,0.34
200002,0.57
200003,0.59
200004,0.61
200005,0.38
200006,0.37
200007,0.41
200008,0.46
200009,0.43
200010,0.33
200011,0.33
200012,0.31
200101,0.43
200102,0.46
200103,0.57
200104,0.56
200105,0.58
200106,0.55
200107,0.62
200108,0.48
200109,0.58
200110,0.47
200111,0.71
200112,0.64
200201,0.68
200202,0.70
200203,0.85
200204,0.56
200205,0.66
200206,0.54
200207,0.59
200208,0.53
200209,0.66
200210,0.56
200211,0.62
200212,0.50
200301,0.71
200302,0.57
200303,0.61
200304,0.61
200305,0.64
200306,0.52
200307,0.60
200308,0.60
200309,0.66
200310,0.77
200311,0.56
200312,0.76
200401,0.58
200402,0.67
200403,0.66
200404,0.66
200405,0.43
200406,0.47
200407,0.32
200408,0.44
200409,0.52
200410,0.61
200411,0.72
200412,0.50
200501,0.74
200502,0.62
200503,0.76
200504,0.70
200505,0.70
200506,0.67
200507,0.65
200508,0.59
200509,0.73
200510,0.75
200511,0.78
200512,0.74
200601,0.63
200602,0.81
200603,0.67
200604,0.52
200605,0.52
200606,0.65
200607,0.55
200608,0.72
200609,0.69
200610,0.68
200611,0.71
200612,0.77
200701,0.93
200702,0.73
200703,0.69
200704,0.80
200705,0.66
200706,0.58
200707,0.58
200708,0.58
200709,0.61
200710,0.61
200711,0.58
200712,0.52
200801,0.29
200802,0.35
200803,0.73
200804,0.52
200805,0.52
200806,0.51
200807,0.57
200808,0.48
200809,0.63
200810,0.70
200811,0.71
200812,0.57
200901,0.67
200902,0.52
200903,0.54
200904,0.59
200905,0.62
200906,0.64
200907,0.72
200908,0.71
200909,0.74
200910,0.69
200911,0.81
200912,0.70
201001,0.75
201002,0.82
201003,0.90
201004,0.89
201005,0.79
201006,0.71
201007,0.66
201008,0.67
201009,0.62
201010,0.68
201011,0.80
201012,0.52
201101,0.56
201102,0.51
201103,0.67
201104,0.65
201105,0.56
201106,0.63
201107,0.72
201108,0.70
201109,0.61
201110,0.71
201111,0.60
201112,0.61
201201,0.48
201202,0.54
201203,0.54
201204,0.75
201205,0.75
201206,0.66
201207,0.63
201208,0.65
201209,0.75
201210,0.79
201211,0.79
201212,0.56
201301,0.70
201302,0.62
201303,0.70
201304,0.57
201305,0.66
201306,0.68
201307,0.61
201308,0.70
201309,0.77
201310,0.68
201311,0.81
201312,0.72
201401,0.74
201402,0.57
201403,0.82
201404,0.85
201405,0.87
201406,0.73
201407,0.62
201408,0.83
201409,0.87
201410,0.82
201411,0.69
201412,0.80
201501,0.82
201502,0.90
201503,0.96
201504,0.81
201505,0.82
201506,0.87
201507,0.77
201508,0.84
201509,0.93
201510,1.11
201511,1.07
201512,1.14
201601,1.24
201602,1.33
201603,1.35
201604,1.14
201605,0.99
201606,0.85
201607,0.86
201608,0.96
201609,0.93
201610,0.90
201611,0.95
201612,0.92
201701,1.08
201702,1.11
201703,1.14
201704,0.97
201705,0.91
201706,0.78
201707,0.83
201708,0.89
201709,0.84
201710,0.92
201711,0.92
201712,0.99
201801,0.82
201802,0.89
201803,0.95
201804,0.90
201805,0.81
201806,0.76
201807,0.80
201808,0.77
201809,0.82
201810,1.07
201811,0.85
201812,0.94
201901,0.92
201902,0.92
201903,1.15
201904,1.05
201905,0.92
201906,0.91
201907,0.92
201908,0.92
201909,0.99
201910,1.03
201911,0.99
201912,1.10
202001,1.14
202002,1.22
202003,1.16
202004,1.11
202005,0.99
202006,0.93
202007,0.90
202008,0.90
202009,0.97
202010,0.90
202011,1.05
202012,0.86
202101,0.84
202102,0.66
202103,0.88
202104,0.79
202105,0.81
202106,0.85
202107,0.92
202108,0.84
202109,0.92
202110,1.00
202111,0.96
202112,0.88
202201,0.93
202202,0.92
202203,1.11
202204,0.90
202205,0.86
202206,0.90
202207,0.89
202208,0.93
202209,0.90
202210,0.97
202211,0.75
202212,0.85
202301,0.88
202302,1.01
202303,1.24
202304,1.00
